sim:nr PA area distance majoraxis n60 n70 n80 n90 probability
 226  79  240.46 639.04   73.67  37   3   4  10  29  0.91
 168  35  241.20 463.71   24.66   9   5   7  11  20  0.91
 114  57  247.82 250.57   28.81   7   7  10  14  20  0.90
 155  79  250.52 296.23   48.34  26  15  20  27  30  0.86
 263  69  254.59 661.48   46.50  23   6   9  11  20  0.90
 104  27  254.74 478.02   13.04   5   3   5  15  24  0.90
 428  37  256.31 364.53   48.76 418  21  27  30  30  0.76
 533  40  256.47 386.40   40.51   4   9  12  17  27  0.90
 407  46  258.30 133.00   52.60   5  11  14  16  21  0.90
 320  73  259.05 393.10   92.14 367  12  16  19  27  0.92
 477  38  264.50 492.62   33.02  13   7   9  13  18  0.90
 132   8  267.41 137.44   63.61   3  12  15  19  26  0.90
 481  78  272.03 451.61   21.65   5   4   9  12  25  0.92
 110  10  273.06 654.25   38.60  35   8  11  13  18  0.90
 277  26  274.18 539.25   31.44   9   5  13  15  27  0.90
 400  74  274.81 300.29   31.92  19   8  11  14  21  0.90
 143   5  283.26 276.49   66.43  51  26  30  30  30  0.66
  71  64  283.47 344.84   21.38  16   7   9  13  30  0.89
 390   9  286.28 499.59   32.56   7   6   9  13  27  0.90
 185  46  287.35 438.44   40.20   3   5   9  14  27  0.90
  66  47  287.49 464.77   25.21   7   7   8  13  20  0.91
 417  39  290.45 393.94   27.20   5   6   9  30  30  0.77
 525  24  294.50 543.14   41.11  33   8  10  15  30  0.88
  85   2  294.53 256.23   52.13   8  10  12  16  23  0.90
 516  81  294.56 472.83   40.81   5   9  13  18  30  0.89
 285  40  295.75 296.77   39.64   3  18  23  26  30  0.89
 212  31  296.75 624.84   50.95  20   7  10  13  24  0.90
 181  70  300.85 495.88   22.64  11   4   6  26  30  0.87
 435   3  301.89 388.86   40.99  10   6   9  13  30  0.90
 338  82  304.72 343.81   97.17   4  11  19  22  30  0.89
 352  43  305.15 135.19   35.84  31   6   9  14  30  0.89
  96  13  310.36 272.34   35.60   4   7  13  20  30  0.88
 148   7  311.57 715.45   53.44  45   9  13  15  30  0.84
 460  54  313.11 497.39   43.33  21   7   9  13  24  0.91
 340  48  316.21 373.16   79.59  18  16  20  25  30  0.92
 165  62  317.02 151.71   63.02   4  10  13  17  30  0.89
 369   1  318.19 439.14   31.39  20   5   7  11  30  0.87
 276  80  322.96 409.17   49.65  23  10  11  15  30  0.85
 355  53  330.27 399.69   53.73  20   7  10  16  28  0.90
 154  56  336.41 713.49   49.97  17   7   8  11  30  0.89
